,ABRIL," $ 11,704,643.05 "," $ 10,533,580.88 "," $ 11,605,629.91 "," $ 10,052,789.68 "," $ 9,149,955.10 "," $ 9,000,166.09 "," $ 3,980,662.37 "," $ 3,404,245.97 "," $ 1,723,236.77 ", -," $ 1,697,533.98 "," $ 2,494,437.55 "," $ 862,014.47 "," $ 48,166.08 "," $ 202,220.26 ", -, -,, $ -   ,D," $ 999,999.00 "
,MAYO," $ 12,160,731.53 "," $ 10,461,865.63 "," $ 11,713,940.85 "," $ 10,784,522.13 "," $ 11,668,985.65 "," $ 6,074,655.77 "," $ 6,162,344.51 "," $ 4,501,526.03 "," $ 1,601,458.11 "," $ 566,199.73 "," $ 2,175,773.55 "," $ 893,464.63 "," $ 950,667.18 "," $ 220,941.78 "," $ 117,705.90 "," $ 576,165.51 "," $ 228,780.50 ",,,,
,META," $ 12,100,000.00 "," $ 10,600,000.00 "," $ 8,600,000.00 "," $ 9,100,000.00 "," $ 7,400,000.00 "," $ 7,350,000.00 "," $ 4,650,000.00 "," $ 4,450,000.00 "," $ 2,150,000.00 "," $ 1,150,000.00 "," $ 1,250,000.00 "," $ 950,000.00 "," $ 850,000.00 "," $ 600,000.00 "," $ 150,000.00 "," $ 350,000.00 "," $ 200,000.00 ",," $ 71,900,000.00 ",,
,CLASE,A,A,B,B,B,B,C,C,C,C,C,D,D,D,D,D,D,, $ 2.24 ,,
,,,,,,,,,,,,,,,,,,,, $ 2.07 ,,
,META, $ 2.20 , $ 1.93 , $ 2.87 , $ 2.60 , $ 2.47 , $ 2.10 , $ 2.33 , $ 2.23 , $ 2.39 , $ 1.15 , $ 2.50 , $ 1.73 , $ 2.18 , $ 2.00 , $ 0.79 , $ 2.33 , $ 1.33 ,, $ 2.20 ,,
,,,,,,,,,,,,,,,,,,,,,,
,TIEMPO,MARCELO,MAU,VICTOR,BRADISH,SANTI,FER,SHALOM,HC,ERWIN,MAU/SANTI,ARTURO,ZAPATA,JAIRO,GILBERT,PASCUAL,MAU/JESUS,REY,,<=,CLASIFICACIÓN,<=
,ENERO,10.19 ,6.79 ,11.16 ,10.88 ,7.40 ,9.44 ,6.72 ,9.36 ,12.82 ,11.06 ,7.40 ,21.00 ,12.57 ,4.50 ,,,,,0.00,A,8.00
,FEBRERO,7.88 ,5.15 ,8.49 ,8.93 ,9.00 ,8.31 ,5.69 ,4.92 ,3.17 ,11.58 ,7.36 ,7.67 ,9.52 ,5.17 ,,,,,8.01,B,10.00
,MARZO,10.03 ,6.27 ,9.15 ,9.95 ,8.17 ,5.85 ,6.57 ,7.03 ,8.06 ,,10.33 ,8.90 ,14.64 ,8.43 ,,,,,10.01,C,12.00
,ABRIL,7.73 ,5.87 ,5.38 ,10.01 ,6.51 ,5.68 ,6.72 ,7.76 ,10.50 ,,4.95 ,7.00 ,10.32 ,3.00 ,,,,,12.01,D,45.00
,MAYO,10.24 ,8.41 ,6.12 ,12.59 ,7.77 ,5.26 ,7.89 ,7.63 ,14.45 ,7.21 ,8.72 ,9.94 ,15.06 ,6.83 ,6.67 ,4.13 ,12.67 ,,,,
,META,9.21 ,6.50 ,8.06 ,10.47 ,7.77 ,6.91 ,6.72 ,7.34 ,9.80 ,9.95 ,7.75 ,10.90 ,12.42 ,5.59 ,6.67 ,4.13 ,12.67 ,,,,
,CLASE,B,A,B,C,A,A,A,A,B,B,A,C,D,A,A,A,D,,,,
